Фамилия;Имя;Отчество;Пол;Возраст;Стаж вождения;Марка автомобиля;Тип страхования;Легкое ДТП;Крупное ДТП;Угон, ДТП без востановления авто;Выплата, руб.
Семенов ;Замир;Павлович;муж;74;53;KIA Rio;полное;0;0;0;0
Лебедева;Виктория;Владиславовна;жен;26;4;Renault Logan;частичное;0;0;0;0
Попов;Глеб;Егорович;муж;34;13;Skoda Octavia A7;частичное;0;0;0;0
Семенов ;Тимофей;Русланович;муж;46;22;VW Polo;полное;0;0;0;0
Борисов ;Кирилл;Дмитриевич;муж;54;34;Mazda CX-5;полное;0;0;0;0
Павлова;Елизавета;Тимофеевна;жен;47;25;Renault Duster;частичное;0;0;0;0
Новикова;Алина;Руслановна;жен;60;31;Lada Granta;частичное;0;0;0;0
Максимов ;Артём;Андреевич;муж;26;5;Renault Kaptur;частичное;0;0;0;0
Александров ;Глеб;Егорович;муж;31;9;Renault Logan;частичное;0;0;0;0
Никитина;Виктория;Никитична;жен;39;19;Renault Duster;частичное;0;0;0;0
Андреев ;Кирилл;Маркович;муж;31;6;KIA Sportage;частичное;0;1;0;100000
Киселев ;Егор;Алексеевич;муж;34;7;VW Polo;частичное;0;1;0;273864.7
Петрова;Диана;Дмитриевна;жен;66;46;Lada 4x4;частичное;0;0;0;0
Антонов ;Сергей;Богданович;муж;48;29;VW Polo;частичное;0;0;0;0
Ковалева;Виктория;Владиславовна;жен;30;7;Renault Sandero;полное;1;0;0;93739.8
Орлов ;Никита;Давидович;муж;30;11;Hyundai Solaris;частичное;0;0;0;0
Дмитриев ;Богдан;Ярославович;муж;38;15;Lada Kalina;частичное;0;0;0;0
Волкова;Злата;Никитична;жен;38;17;Hyundai Solaris;частичное;0;0;0;0
Иванова;Екатерина;Ярославовна;жен;35;9;Lada Granta;полное;0;0;0;0
Козлов ;Дмитрий;Владиславович;муж;64;44;Skoda Rapid;полное;0;0;0;0
Соколова;Елизавета;Замировна;жен;40;12;KIA Rio;частичное;0;0;0;0
Новикова;Юлия;Савельевна;жен;43;16;Renault Sandero;полное;1;0;0;120262.3
Васильев;Замир;Демидович;муж;22;0;VW Polo;полное;0;0;0;0
Максимова;Софья;Никитична;жен;32;11;KIA Sportage;частичное;0;0;0;0
Новиков;Александр;Маркович;муж;66;39;Hyundai Creta;частичное;0;0;0;0
Григорьев ;Артём;Ярославович;муж;33;14;Skoda Octavia A7;частичное;0;0;0;0
Алексеева ;Стася;Александровна;жен;51;21;Chevrolet NIVA;полное;0;0;0;0
Макарова;Юлия;Михайловна;жен;42;21;Toyota RAV 4;полное;0;0;0;0
Макаров ;Михаил;Русланович;муж;30;9;Nissan X-Trail;частичное;0;0;0;0
Смирнова;Мария;Кирилловна;жен;46;14;Renault Logan;частичное;0;1;0;152721.6
Морозова;Ольга;Никитична;жен;41;8;KIA Rio;полное;0;0;0;0
Морозов ;Илья;Артемович;муж;50;28;Skoda Rapid;полное;0;0;0;0
Кузнецов;Матвей;Тимофеевич;муж;36;13;Hyundai Creta;частичное;1;0;0;91742
Романов ;Андрей;Даниилович;муж;38;20;Nissan Qashqai;полное;0;0;0;0
Яковлев ;Вадим;Денисович;муж;78;54;Renault Sandero;частичное;0;0;0;0
Лебедева;Ольга;Артемовна;жен;20;2;Toyota Camry;полное;1;0;0;82930.2
Воробьева;Ольга;Егоровна;жен;52;33;VW Polo;частичное;1;0;0;7500
Павлов ;Семён;Ильич;муж;45;26;KIA Sportage;полное;1;0;0;66643.7
Семенова ;Ева;Руслановна;жен;25;0;Hyundai Solaris;частичное;0;0;0;0
Смирнова;Кристина;Аскаровна;жен;22;0;Renault Sandero;частичное;0;0;0;0
Смирнова;Елизавета;Матвеевна;жен;24;5;Renault Sandero;частичное;0;0;0;0
Кузнецова;Дарья;Ильична;жен;18;0;VW Polo;частичное;0;0;0;0
Васильев;Илья;Константинович;муж;72;54;VW Tiguan;частичное;0;0;0;0
Лебедева;Мария;Александровна;жен;37;19;Hyundai Solaris;полное;0;0;0;0
Николаева ;Валерия;Глебовна;жен;31;8;Nissan X-Trail;полное;0;0;0;0
Смирнов;Даниил;Никитич;муж;53;34;Renault Logan;частичное;0;0;0;0
Васильев;Кирилл;Евгеньевич;муж;32;11;Hyundai Solaris;полное;0;0;0;0
Морозова;Кира;Евгеньевна;жен;33;2;Toyota Camry;полное;1;0;0;300000
Михайлов;Тимофей;Захарович;муж;60;41;KIA Rio;частичное;0;0;0;0
Андреев ;Тимур;Ильич;муж;30;12;Chevrolet NIVA;полное;0;0;0;0
Михайлов;Илья;Сергеевич;муж;40;17;Lada Kalina;частичное;0;0;0;0
Петрова;Есения;Глебовна;жен;57;26;Lada X-Ray;частичное;0;0;0;0
Орлов ;Даниил;Артемович;муж;49;19;Renault Duster;полное;0;0;0;0
Макаров ;Руслан;Андреевич;муж;41;21;Hyundai Solaris;частичное;0;1;0;86681.4
Романов ;Руслан;Тимофеевич;муж;54;35;Nissan Qashqai;частичное;0;0;0;0
Васильев;Максим;Евгеньевич;муж;19;0;Lada Vesta;частичное;1;0;0;25968.3
Васильев;Никита;Тимурович;муж;82;59;Chevrolet NIVA;частичное;0;0;0;0
Егорова;Арина;Дмитриевна;жен;74;54;Lada Largus;частичное;0;0;0;0
Козлова;Стася;Богдановна;жен;68;47;Lada Granta;частичное;0;0;0;0
Новиков;Даниил;Кириллович;муж;48;17;Lada X-Ray;полное;0;0;0;0
Лебедев ;Иван;Ильич;муж;46;25;KIA Sportage;полное;1;0;0;104351.5
Семенова ;Алина;Алексеевна;жен;20;1;Lada X-Ray;полное;0;0;0;0
Смирнов;Богдан;Романович;муж;47;24;KIA Sportage;частичное;0;0;0;0
Борисова;Ольга;Марсельевна;жен;86;63;Hyundai Solaris;частичное;0;0;0;0
Петрова;Елизавета;Михайловна;жен;65;45;Renault Logan;полное;0;0;0;0
Михайлов;Сергей;Никитич;муж;35;12;Datsun on-DO;полное;0;0;0;0
Максимов ;Александр;Алексеевич;муж;69;46;Lada Largus;полное;0;0;0;0
Захаров ;Даниил;Аланович;муж;48;29;KIA Rio;частичное;0;0;0;0
Сорокин ;Кирилл;Матвеевич;муж;38;19;Lada Granta;частичное;0;0;0;0
Сергеев ;Вадим;Даниилович;муж;48;26;Skoda Octavia A7;частичное;1;0;0;146505
Иванов;Дмитрий;Максимович;муж;43;11;Lada Largus;полное;0;0;0;0
Николаев ;Денис;Алексеевич;муж;22;2;Renault Kaptur;частичное;0;0;0;0
Иванов;Игорь;Владиславович;муж;56;34;Lada Largus;полное;0;0;0;0
Морозов ;Даниил;Артемович;муж;48;28;Lada Largus;частичное;1;0;0;45975.8
Егоров ;Илья;Андреевич;муж;48;15;Lada Largus;полное;0;0;0;0
Фролов ;Константин;Владиславович;муж;29;5;Lada Granta;частичное;0;0;0;0
Иванова;Алёна;Данииловна;жен;31;10;Skoda Rapid;частичное;0;0;0;0
Захарова;Карина;Сергеевна;жен;38;16;KIA Rio;частичное;0;0;0;0
Иванова;Арина;Романовна;жен;56;36;Hyundai Solaris;частичное;0;1;0;161555.5
Захаров ;Максим;Тимофеевич;муж;43;12;Renault Logan;частичное;0;0;0;0
Волкова;Арина;Кирилловна;жен;78;52;Lada Granta;частичное;0;0;0;0
Иванов;Артём;Семенович;муж;36;5;Renault Kaptur;частичное;0;0;0;0
Никитин ;Арсений;Тимурович;муж;47;29;Lada 4x4;частичное;1;0;0;40846.4
Козлова;Кристина;Дамировна;жен;69;45;Lada Granta;частичное;0;0;0;0
Новикова;Дарина;Денисовна;жен;71;49;VW Tiguan;частичное;0;0;0;0
Алексеева ;Ульяна;Андреевна;жен;23;2;Lada Granta;полное;1;0;0;29249.4
Романова ;Мария;Семеновна;жен;29;6;Mazda CX-5;частичное;0;0;0;0
Кузнецов;Павел;Даниилович;муж;52;27;Skoda Rapid;частичное;0;0;0;0
Соловьев ;Алексей;Владимирович;муж;69;47;KIA Rio;частичное;1;0;0;10361.6
Соколов;Богдан;Сергеевич;муж;38;20;Lada Largus;частичное;0;0;0;0
Козлова;Кира;Константиновна;жен;27;5;Toyota Camry;полное;0;0;0;0
Александров ;Егор;Богданович;муж;38;14;Skoda Rapid;полное;0;0;0;0
Соколова;Милослава;Дамировна;жен;31;12;Lada Vesta;полное;1;0;0;9692.2
Григорьев ;Константин;Захарович;муж;29;11;Lada 4x4;полное;1;0;0;33425.9
Павлова;Кристина;Романовна;жен;55;31;Hyundai Solaris;полное;0;0;0;0
Попов;Кирилл;Маркович;муж;66;39;Renault Duster;частичное;0;0;0;0
Сергеев ;Тимур;Тимофеевич;муж;54;34;Hyundai Solaris;частичное;0;0;0;0
Гусева;Есения;Александровна;жен;32;9;Lada Granta;полное;0;0;0;0
Андреев ;Евгений;Демидович;муж;28;10;Nissan Qashqai;частичное;0;0;0;0
Новикова;Ева;Матвеевна;жен;42;19;KIA Sportage;частичное;0;0;0;0
Степанова ;Виктория;Данииловна;жен;69;49;Toyota RAV 4;частичное;0;0;0;0
Семенова ;Милена;Богдановна;жен;19;0;KIA Rio;частичное;1;0;0;89315.5
Васильев;Савелий;Павлович;муж;20;0;VW Tiguan;полное;0;0;0;0
Попова;Софья;Ивановна;жен;46;25;Hyundai Solaris;полное;0;0;0;0
Павлова;Кира;Владимировна;жен;53;24;Lada Vesta;частичное;0;0;0;0
Алексеева ;Камила;Андреевна;жен;20;0;KIA Rio;частичное;0;0;0;0
Андреева;Милена;Дмитриевна;жен;24;2;Lada Largus;частичное;0;0;0;0
Ильин ;Даниил;Ильич;муж;26;5;Lada Largus;частичное;0;0;0;0
Новиков;Александр;Дмитриевич;муж;28;6;Chevrolet NIVA;полное;0;0;0;0
Попов;Арсений;Арсеньевич;муж;68;46;KIA Sportage;частичное;0;0;0;0
Кузнецов;Матвей;Егорович;муж;36;12;Renault Logan;полное;0;0;0;0
Михайлова;Амелия;Алексеевна;жен;49;23;Renault Sandero;частичное;0;0;0;0
Морозов ;Никита;Артемович;муж;34;6;Hyundai Creta;частичное;0;1;0;432224.2
Степанова ;Ксения;Матвеевна;жен;36;16;Skoda Rapid;полное;0;0;0;0
Ильин ;Марк;Арсеньевич;муж;36;12;Lada Largus;частичное;0;0;0;0
Волков ;Семён;Иванович;муж;34;15;Lada X-Ray;полное;0;0;0;0
Григорьева ;Юлия;Аскаровна;жен;47;24;Toyota RAV 4;частичное;0;0;0;0
Волков ;Алексей;Ярославович;муж;29;7;Datsun on-DO;частичное;1;0;0;6615
Петров;Ярослав;Сергеевич;муж;69;49;Lada Vesta;полное;0;0;0;0
Алексеев ;Дмитрий;Тимофеевич;муж;39;3;Skoda Octavia A7;частичное;1;0;0;72526.4
Соловьев ;Арсений;Ильич;муж;45;12;Skoda Octavia A7;частичное;1;0;0;15645.6
Смирнова;Камила;Марковна;жен;32;14;Renault Duster;частичное;0;0;0;0
Захаров ;Глеб;Маркович;муж;36;17;Hyundai Solaris;частичное;0;0;0;0
Васильев;Даниил;Егорович;муж;74;54;Skoda Octavia A7;частичное;0;0;0;0
Федоров ;Арсений;Елисеевич;муж;19;0;Renault Duster;частичное;1;0;0;21870.1
Максимова;Алиса;Андреевна;жен;28;10;VW Polo;полное;0;0;0;0
Александрова ;Анастасия;Артемовна;жен;31;2;Hyundai Solaris;полное;1;0;0;7500
Максимов ;Замир;Даниилович;муж;55;36;Lada Kalina;полное;0;0;0;0
Ильин ;Илья;Михайлович;муж;47;24;Renault Duster;полное;0;0;0;0
Соловьев ;Марк;Тимофеевич;муж;40;10;Lada Vesta;частичное;1;0;0;73103.1
Никитин ;Тимофей;Константинович;муж;62;42;Renault Kaptur;частичное;1;0;0;15283.3
Яковлев ;Иван;Матвеевич;муж;66;48;KIA Rio;частичное;0;0;0;0
Попова;Кира;Михайловна;жен;51;22;Chevrolet NIVA;частичное;1;0;0;36861.3
Захарова;Алина;Глебовна;жен;44;14;Lada Granta;частичное;0;0;0;0
Алексеев ;Семён;Даниилович;муж;38;18;KIA Sportage;частичное;0;0;0;0
Васильев;Савелий;Русланович;муж;61;43;KIA Rio;частичное;0;0;1;0
Смирнова;Виктория;Матвеевна;жен;79;52;Nissan X-Trail;полное;0;0;0;0
Васильева;Мария;Арсеньевна;жен;25;1;Skoda Rapid;частичное;1;0;0;82754
Алексеева ;Дарина;Ярославовна;жен;48;27;Lada X-Ray;частичное;1;0;0;10962.2
Борисов ;Арсений;Даниилович;муж;50;17;Skoda Rapid;частичное;0;0;0;0
Волков ;Александр;Иванович;муж;22;0;Renault Duster;частичное;0;0;0;0
Кузьмин ;Кирилл;Тимофеевич;муж;25;6;KIA Rio;частичное;0;0;0;0
Алексеев ;Константин;Владиславович;муж;27;3;KIA Rio;частичное;1;0;0;81938.2
Смирнов;Сергей;Замирович;муж;47;25;Lada Vesta;частичное;0;0;0;0
Романов ;Максим;Матвеевич;муж;54;11;Renault Duster;частичное;0;0;0;0
Морозова;Алиса;Богдановна;жен;30;7;VW Tiguan;частичное;0;0;0;0
Павлова;Ксения;Максимовна;жен;66;23;KIA Sportage;частичное;0;0;0;0
Новикова;Дарья;Ильична;жен;28;2;Lada Largus;частичное;0;0;0;0
Поляков ;Роман;Савельевич;муж;75;44;Toyota Camry;частичное;0;0;0;0
Новиков;Владислав;Семенович;муж;23;5;KIA Sportage;частичное;0;0;0;0
Максимов ;Владислав;Константинович;муж;64;41;Renault Duster;частичное;0;0;0;0
Михайлов;Георгий;Денисович;муж;61;35;VW Polo;полное;1;0;0;54164.3
Федоров ;Андрей;Михайлович;муж;29;3;Lada Vesta;частичное;0;0;0;0
Борисов ;Максим;Егорович;муж;57;25;Lada 4x4;частичное;1;0;0;62777.2
Степанов ;Павел;Дмитриевич;муж;68;35;Lada 4x4;частичное;1;0;0;72533.6
Васильев;Демид;Егорович;муж;63;44;Lada Largus;частичное;0;0;0;0
Поляков ;Игорь;Романович;муж;33;8;Chevrolet NIVA;полное;1;0;0;100790.1
Ильина;Есения;Артуровна;жен;33;9;Lada Kalina;полное;0;0;0;0
Антонов ;Елисей;Дамирович;муж;25;7;KIA Rio;полное;0;0;0;0
Поляков ;Роман;Даниилович;муж;50;26;Lada 4x4;частичное;0;0;0;0
Козлов ;Андрей;Арсеньевич;муж;49;20;Hyundai Solaris;частичное;0;0;0;0
Гусева;Валерия;Савельевна;жен;62;38;Lada Granta;частичное;0;0;0;0
Воробьев ;Дмитрий;Максимович;муж;29;8;Toyota RAV 4;частичное;1;0;0;15000
Соколов;Марк;Артемович;муж;37;12;Lada Kalina;частичное;0;0;0;0
Федоров ;Арсений;Евгеньевич;муж;79;45;KIA Sportage;частичное;0;0;0;0
Волков ;Владислав;Арсеньевич;муж;62;31;Hyundai Solaris;частичное;0;0;0;0
Павлов ;Демид;Ярославович;муж;62;38;Lada 4x4;частичное;0;0;0;0
Андреев ;Дмитрий;Ильич;муж;58;32;Renault Kaptur;частичное;0;0;0;0
Павлов ;Семён;Евгеньевич;муж;63;41;Mazda CX-5;полное;0;0;0;0
Иванова;Юлия;Тимуровна;жен;68;44;KIA Sportage;частичное;0;0;0;0
Павлова;Амелия;Никитична;жен;21;0;Lada 4x4;частичное;0;0;0;0
Максимова;Есения;Павловна;жен;26;4;Renault Sandero;частичное;0;0;0;0
Романов ;Тимур;Алексеевич;муж;51;29;Hyundai Solaris;полное;0;0;0;0
Кузьмина;Милана;Кирилловна;жен;29;9;Hyundai Creta;полное;1;0;0;203617
Федорова;Стася;Романовна;жен;26;8;Hyundai Solaris;частичное;1;0;0;44015.4
Новиков;Артём;Дмитриевич;муж;30;2;Renault Logan;частичное;1;0;0;3750
Лебедев ;Даниил;Андреевич;муж;33;10;Renault Sandero;частичное;0;0;0;0
Павлова;Милана;Никитична;жен;49;25;Mazda CX-5;частичное;0;0;0;0
Макаров ;Михаил;Тимофеевич;муж;33;5;Lada Vesta;частичное;1;0;0;103617.7
Морозов ;Кирилл;Русланович;муж;69;47;Toyota RAV 4;частичное;0;0;0;0
Алексеев ;Артём;Матвеевич;муж;27;3;Hyundai Solaris;частичное;0;1;0;67591.2
Степанов ;Алексей;Тимофеевич;муж;28;10;Lada X-Ray;полное;1;0;0;7500
Зайцев ;Глеб;Максимович;муж;59;30;Toyota RAV 4;полное;0;0;0;0
Николаев ;Владислав;Семенович;муж;67;47;Lada Vesta;частичное;0;0;0;0
Соколов;Аскар;Елисеевич;муж;25;0;Nissan X-Trail;частичное;0;0;0;0
Андреев ;Иван;Денисович;муж;42;22;VW Polo;частичное;0;0;0;0
Николаев ;Кирилл;Маркович;муж;39;18;Lada 4x4;полное;1;0;0;7500
Лебедева;Элина;Ильична;жен;87;65;Hyundai Solaris;полное;0;0;0;0
Кузьмина;Арина;Владимировна;жен;48;18;Renault Sandero;частичное;1;0;0;8159.9
Александров ;Сергей;Замирович;муж;31;6;Lada 4x4;частичное;1;0;0;8585.7
Лебедева;Милослава;Ильична;жен;50;27;KIA Rio;частичное;0;0;0;0
Сергеев ;Роман;Аскарович;муж;59;36;Hyundai Creta;частичное;0;0;0;0
Поляков ;Владислав;Ильич;муж;56;38;VW Polo;частичное;0;0;0;0
Петрова;Ева;Кирилловна;жен;47;26;Skoda Rapid;частичное;0;0;0;0
Яковлев ;Вадим;Маркович;муж;59;35;Hyundai Solaris;полное;0;0;0;0
Егоров ;Сергей;Андреевич;муж;44;26;Mazda CX-5;частичное;0;0;0;0
Лебедева;Юлия;Дамировна;жен;32;13;Toyota RAV 4;полное;0;0;0;0
Васильев;Роман;Михайлович;муж;87;68;Lada Granta;частичное;0;0;0;0
Соловьев ;Евгений;Ильич;муж;48;21;Datsun on-DO;частичное;0;0;0;0
Кузьмин ;Матвей;Аскарович;муж;66;39;Lada Largus;частичное;0;0;0;0
Иванова;Анастасия;Андреевна;жен;22;0;Toyota Camry;полное;0;0;0;0
Кузнецова;Дарья;Арсеньевна;жен;73;53;KIA Rio;частичное;0;0;0;0
Семенов ;Дмитрий;Алексеевич;муж;28;9;Nissan Qashqai;частичное;0;0;0;0
Гусев ;Роман;Ильич;муж;29;4;KIA Rio;полное;0;0;0;0
Соловьева;Ева;Михайловна;жен;26;2;Lada Vesta;частичное;0;0;0;0
Попова;Мария;Аскаровна;жен;43;22;Lada Vesta;частичное;0;0;0;0
Григорьева ;Вероника;Тимофеевна;жен;47;23;Renault Kaptur;частичное;0;0;0;0
Гусева;Ева;Аскаровна;жен;43;21;Renault Sandero;полное;0;0;0;0
Попова;Юлия;Максимовна;жен;43;19;Renault Duster;частичное;0;0;0;0
Семенова ;Елена;Матвеевна;жен;50;22;Nissan Qashqai;частичное;0;0;0;0
Лебедева;Есения;Тимуровна;жен;79;57;Mazda CX-5;частичное;0;0;0;0
Семенов ;Матвей;Артемович;муж;67;37;Skoda Octavia A7;полное;0;0;0;0
Новикова;Ольга;Демидовна;жен;52;19;Mazda CX-5;частичное;0;0;0;0
Козлов ;Алан;Дмитриевич;муж;77;53;Chevrolet NIVA;частичное;1;0;0;7500
Макаров ;Ярослав;Дмитриевич;муж;42;21;Lada Largus;частичное;0;0;0;0
Егоров ;Егор;Денисович;муж;24;0;Lada Vesta;полное;0;0;0;0
Семенов ;Иван;Захарович;муж;32;12;Hyundai Solaris;частичное;0;0;0;0
Кузнецов;Роман;Сергеевич;муж;76;56;KIA Rio;полное;0;0;0;0
Лебедева;Марьяна;Кирилловна;жен;55;23;KIA Rio;полное;0;0;0;0
Никитина;Дарья;Елисеевна;жен;63;38;Renault Logan;частичное;0;0;0;0
Егоров ;Константин;Игоревич;муж;23;1;Hyundai Solaris;частичное;0;0;0;0
Королева;Вероника;Владиславовна;жен;43;24;Lada Kalina;частичное;0;0;0;0
Захаров ;Алексей;Вадимович;муж;30;5;KIA Rio;частичное;1;0;0;7500
Андреев ;Захар;Замирович;муж;31;7;Hyundai Solaris;частичное;0;0;0;0
Степанов ;Денис;Денисович;муж;75;57;KIA Rio;частичное;0;0;0;0
Соловьев ;Евгений;Дмитриевич;муж;23;5;Hyundai Solaris;частичное;0;0;0;0
Новикова;Ольга;Тимофеевна;жен;37;5;KIA Rio;частичное;1;0;0;7500
Белова;Карина;Ивановна;жен;25;0;Hyundai Creta;полное;1;0;0;35745.5
Поляков ;Аскар;Иванович;муж;45;15;KIA Rio;частичное;0;0;1;0
Воробьев ;Егор;Марселевич;муж;50;30;Toyota RAV 4;частичное;0;0;0;0
Никитин ;Ярослав;Максимович;муж;35;1;Renault Sandero;частичное;0;0;0;0
Попов;Илья;Тимофеевич;муж;41;20;Hyundai Solaris;полное;0;0;0;0
Новиков;Владислав;Захарович;муж;61;41;Mazda CX-5;частичное;1;0;0;300000
Козлов ;Даниил;Маркович;муж;45;27;KIA Rio;частичное;1;0;0;67804.2
Федорова;Алина;Егоровна;жен;61;33;KIA Rio;полное;0;0;0;0
Александров ;Дамир;Матвеевич;муж;31;3;Hyundai Solaris;частичное;0;0;0;0
Лебедева;Полина;Ильична;жен;24;2;Lada X-Ray;частичное;0;0;0;0
Петрова;Ксения;Владиславовна;жен;37;16;Nissan Qashqai;частичное;0;0;0;0
Захарова;Елизавета;Максимовна;жен;25;7;Lada X-Ray;частичное;0;0;0;0
Алексеев ;Никита;Глебович;муж;43;19;Hyundai Solaris;частичное;1;0;0;59172.1
Белов ;Иван;Аланович;муж;69;37;Lada Vesta;частичное;0;0;0;0
Алексеев ;Денис;Ильич;муж;55;18;Nissan Qashqai;частичное;0;1;0;139553.4
Алексеев ;Дмитрий;Алексеевич;муж;41;22;Lada Largus;частичное;0;0;0;0
Васильев;Руслан;Павлович;муж;25;4;Lada 4x4;полное;0;0;0;0
Захаров ;Даниил;Михайлович;муж;60;32;Toyota RAV 4;частичное;0;0;0;0
Павлова;Елена;Руслановна;жен;18;0;Renault Kaptur;полное;0;0;0;0
Никитина;Карина;Глебовна;жен;30;12;Hyundai Solaris;частичное;1;0;0;14982.2
Соколова;Дарина;Артемовна;жен;60;42;VW Polo;частичное;0;0;0;0
Поляков ;Дмитрий;Сергеевич;муж;58;37;Lada Vesta;полное;0;0;0;0
Морозов ;Артём;Владиславович;муж;76;43;Lada Largus;полное;0;0;0;0
Волков ;Андрей;Глебович;муж;67;39;Lada Vesta;частичное;0;0;0;0
Смирнов;Александр;Михайлович;муж;38;20;Lada X-Ray;полное;0;0;0;0
Федоров ;Денис;Глебович;муж;75;47;Mazda CX-5;частичное;0;0;0;0
Гусева;Екатерина;Ивановна;жен;74;56;Renault Duster;частичное;0;0;0;0
Павлов ;Роман;Матвеевич;муж;34;12;Renault Sandero;частичное;0;0;0;0
Лебедев ;Дмитрий;Максимович;муж;71;49;VW Polo;частичное;0;0;0;0
Орлова;Марьяна;Тимуровна;жен;56;32;KIA Sportage;частичное;0;0;0;0
Семенова ;Екатерина;Андреевна;жен;45;26;KIA Rio;частичное;0;0;0;0
Семенова ;Стася;Артемовна;жен;37;9;Hyundai Creta;частичное;1;0;0;142636.3
Петров;Антон;Савельевич;муж;27;4;VW Polo;частичное;1;0;0;7500
Кузнецова;Милена;Евгеньевна;жен;70;51;VW Tiguan;полное;0;0;0;0
Сергеева;Кира;Александровна;жен;45;15;Lada Kalina;частичное;0;0;0;0
Яковлева;Юлия;Никитична;жен;19;0;Hyundai Solaris;частичное;0;0;0;0
Степанов ;Глеб;Маркович;муж;63;30;Lada Granta;полное;0;0;0;0
Петрова;Диана;Андреевна;жен;59;28;Lada Granta;полное;0;0;0;0
Козлова;Арина;Евгеньевна;жен;34;6;KIA Rio;полное;0;0;0;0
Петрова;Вероника;Артемовна;жен;21;0;Renault Duster;частичное;0;0;0;0
Семенов ;Ярослав;Замирович;муж;57;34;Skoda Octavia A7;частичное;0;0;0;0
Волков ;Дмитрий;Тимурович;муж;44;24;Nissan Qashqai;частичное;0;0;0;0
Попов;Константин;Захарович;муж;40;21;Lada Granta;частичное;0;0;0;0
Орлов ;Илья;Дамирович;муж;57;37;Lada X-Ray;частичное;0;0;0;0
Новиков;Руслан;Елисеевич;муж;87;63;Skoda Rapid;частичное;0;0;0;0
Алексеев ;Руслан;Богданович;муж;35;11;Lada Granta;частичное;0;0;0;0
Степанов ;Александр;Андреевич;муж;51;33;Renault Sandero;частичное;0;0;0;0
Дмитриев ;Алексей;Матвеевич;муж;36;15;Nissan X-Trail;частичное;0;0;0;0
Попов;Евгений;Иванович;муж;27;5;Hyundai Solaris;полное;0;0;0;0
Смирнов;Михаил;Ярославович;муж;37;6;Skoda Rapid;частичное;1;0;0;13363.5
Волков ;Дмитрий;Ильич;муж;53;35;Lada Largus;частичное;1;0;0;3750
Попова;Алиса;Ильична;жен;37;3;KIA Rio;частичное;1;0;0;150000
Белова;Кира;Егоровна;жен;47;20;Chevrolet NIVA;частичное;0;0;0;0
Морозова;Елизавета;Елисеевна;жен;34;5;Lada Largus;частичное;0;0;0;0
Васильева;Виктория;Артемовна;жен;39;10;Lada Granta;частичное;0;0;0;0
Лебедев ;Никита;Демидович;муж;69;40;Toyota Camry;полное;0;0;0;0
Федоров ;Дамир;Сергеевич;муж;24;0;KIA Rio;частичное;0;0;0;0
Андреева;Юлия;Марковна;жен;77;59;Hyundai Creta;полное;0;0;0;0
Кузнецов;Кирилл;Тимофеевич;муж;27;4;Hyundai Solaris;частичное;0;0;0;0
Соловьев ;Демид;Арсеньевич;муж;44;17;Lada Vesta;частичное;0;0;0;0
Никитина;Юлия;Андреевна;жен;61;37;Lada X-Ray;частичное;1;0;0;47265.1
Смирнова;Полина;Егоровна;жен;37;11;VW Tiguan;частичное;1;0;0;40101.9
Соколов;Артём;Замирович;муж;23;1;Hyundai Solaris;полное;0;0;0;0
Соколов;Давид;Дмитриевич;муж;30;9;Renault Logan;частичное;1;0;0;75000
Николаев ;Ярослав;Даниилович;муж;28;3;Lada X-Ray;частичное;0;1;0;50000
Волкова;Софья;Марсельевна;жен;28;1;Hyundai Solaris;частичное;1;0;0;150000
Григорьев ;Кирилл;Александрович;муж;62;40;Lada X-Ray;частичное;0;1;0;427370.4
Попова;Кира;Максимовна;жен;43;25;Lada Granta;полное;0;0;0;0
Воробьева;Ксения;Максимовна;жен;28;4;Lada X-Ray;частичное;1;0;0;84559.1
Соловьев ;Александр;Михайлович;муж;24;0;KIA Rio;частичное;0;0;0;0
Новиков;Арсений;Ярославович;муж;35;4;KIA Rio;полное;1;0;0;9523.9
Попов;Алексей;Иванович;муж;57;33;Mazda CX-5;полное;0;0;0;0
Романов ;Захар;Андреевич;муж;33;7;Skoda Octavia A7;полное;0;0;0;0
Егоров ;Михаил;Демидович;муж;32;9;Chevrolet NIVA;частичное;1;0;0;17705
Макаров ;Павел;Ярославович;муж;34;6;Renault Sandero;частичное;0;0;0;0
Орлов ;Тимофей;Иванович;муж;30;12;Lada Largus;частичное;0;0;0;0
Никитин ;Иван;Тимофеевич;муж;74;53;Hyundai Creta;полное;0;0;0;0
Гусева;София;Романовна;жен;63;42;KIA Rio;частичное;0;0;0;0
Захарова;Камила;Ярославовна;жен;20;1;Nissan Qashqai;частичное;0;0;0;0
Степанов ;Денис;Иванович;муж;46;27;Renault Sandero;частичное;0;0;0;0
Максимов ;Никита;Матвеевич;муж;31;10;Lada Granta;полное;0;0;0;0
Гусев ;Иван;Матвеевич;муж;39;10;Lada Kalina;частичное;1;0;0;67971.2
Федоров ;Матвей;Иванович;муж;54;30;Lada Vesta;частичное;1;0;0;12784.8
Иванова;Анастасия;Константиновна;жен;37;16;Lada Vesta;полное;0;0;0;0
Кузьмин ;Михаил;Иванович;муж;50;30;Lada Granta;частичное;0;0;0;0
Новиков;Павел;Арсеньевич;муж;37;18;Renault Sandero;частичное;1;0;0;54826.9
Иванова;Анна;Дмитриевна;жен;44;23;Toyota RAV 4;частичное;0;0;0;0
Фролов ;Тимур;Кириллович;муж;40;18;Lada Kalina;полное;0;0;0;0
